"Market: Digital Media - Video-on-Demand - Video Streaming (SVoD), Region: Worldwide, Currency: USD (US$)",,,,,,,,,,,
,,,,,,,,,,,
REVENUE COMPARISON in million USD (US$),,,,,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Average
India,246,354,528,803,1052,1315,1568,1790,1975,2162,1179
Indonesia,48,71,109,162,223,281,337,386,426,468,251
Iran,81,103,132,167,201,233,260,281,298,315,207
Iraq,14,21,30,45,48,59,69,77,84,92,54
Ireland,57,74,87,114,139,153,162,168,171,174,130
Israel,71,89,113,151,183,202,215,224,230,236,172
Italy,388,530,656,888,1116,1265,1364,1431,1474,1517,1063
Ivory Coast,21,33,45,64,85,100,110,117,121,126,82
Jamaica,4,5,6,8,9,9,9,9,9,9,8
Japan,906,1179,1531,1979,2324,2583,2832,2983,3094,3209,2262
Jordan,3,5,7,10,14,17,21,24,26,29,16
Kazakhstan,9,11,12,16,20,24,28,32,35,39,23
Kenya,3,6,11,19,28,38,48,57,65,73,35
Kuwait,5,6,8,11,14,16,18,20,21,23,14
Kyrgyzstan,5,7,10,12,13,14,15,15,15,15,12
Laos,1,2,4,6,8,11,14,17,19,21,10
Latvia,3,3,4,6,8,9,10,11,12,13,8
Lebanon,3,4,5,4,4,5,5,6,6,7,5
Lesotho,1,2,2,2,3,4,4,4,4,4,3
Lithuania,4,6,7,10,13,15,17,19,20,21,13
Luxembourg,6,8,10,13,16,17,19,19,20,20,15
Madagascar,1,1,2,4,6,8,10,11,12,12,7
Malawi,0,1,1,3,4,5,6,6,7,7,4
Malaysia,25,38,51,71,93,113,132,147,159,172,100
Malta,1,2,2,3,4,5,5,5,6,6,4
Mauritius,2,2,3,4,4,5,5,5,5,5,4
Mexico,373,506,704,915,1220,1488,1738,1956,2135,2316,1335
Moldova,2,3,4,5,6,7,8,9,9,9,6
Mongolia,1,2,2,3,4,6,7,8,8,9,5
Montenegro,1,1,1,2,2,2,3,3,3,3,2
Morocco,8,13,18,27,37,46,54,60,66,72,40
Mozambique,1,2,4,7,11,16,21,25,28,31,15
Myanmar,7,14,25,53,83,117,148,172,190,207,102
Nepal,3,5,8,12,16,21,25,28,31,33,18
Netherlands,229,282,319,404,493,555,603,642,673,703,490
New Zealand,57,65,73,87,109,119,128,135,141,147,106
Nicaragua,8,11,15,19,21,23,24,24,24,24,19
Niger,0,1,1,3,6,10,12,13,14,15,8
Nigeria,44,82,142,231,340,478,612,723,806,892,435
North Macedonia,5,6,7,9,11,13,13,14,14,14,11
Norway,125,149,164,189,236,259,277,291,302,312,230
Oman,9,11,14,19,23,27,31,34,37,40,25
Pakistan,17,28,37,56,72,88,101,111,116,121,75
Panama,5,7,9,13,17,21,25,28,30,33,19
Papua New Guinea,0,0,1,1,2,3,4,4,4,5,3
Paraguay,10,13,16,21,26,31,36,39,42,45,28
Peru,47,65,89,121,144,166,182,194,202,209,142
Philippines,26,36,52,80,102,122,138,151,160,169,104
Poland,120,161,194,241,273,298,315,327,337,346,261
Portugal,27,35,42,55,67,75,80,84,86,88,64
Qatar,10,14,18,26,33,40,47,54,59,65,37
Republic of the Congo,2,4,6,9,13,15,17,18,19,20,12
Romania,18,25,31,42,54,62,68,73,75,78,53
Russia,205,249,316,379,464,508,535,550,556,563,432
Rwanda,0,1,1,3,4,6,8,10,12,13,6
Saudi Arabia,45,59,77,104,127,148,166,180,191,202,130
Senegal,1,2,3,6,10,15,21,26,31,36,15
Serbia,8,12,15,21,27,32,36,40,42,45,28
Seychelles,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,1,1,1,2,2,2,2,1
Singapore,31,41,53,72,96,118,140,160,178,197,109
Slovakia,9,13,16,22,29,34,38,41,43,45,29
Slovenia,4,6,8,11,15,18,21,23,25,26,16
South Africa,84,110,132,157,196,228,252,273,290,322,205
South Korea,261,339,407,520,648,731,794,839,870,900,631
Spain,325,430,518,686,851,955,1025,1072,1101,1131,809
Sri Lanka,5,8,12,19,27,34,42,50,56,63,32
Sudan,20,23,31,43,53,59,64,68,71,74,51
Suriname,0,1,1,1,1,1,1,0,0,0,1
Sweden,240,289,329,413,513,556,586,606,620,635,479
Switzerland,98,121,147,191,226,248,262,274,283,294,214
Tajikistan,6,8,11,14,15,16,17,18,18,18,14
Tanzania,2,5,9,17,26,37,47,56,62,68,33
Thailand,45,64,91,125,164,200,234,262,285,309,178
Timor-Leste,1,1,2,2,3,3,3,4,4,4,3
Togo,0,0,1,1,2,2,3,4,4,5,2
Tunisia,5,6,7,10,13,16,18,20,21,22,14
Turkey,189,220,285,353,448,548,643,732,815,907,514
Turkmenistan,9,15,22,29,35,40,44,47,49,52,34
Uganda,1,3,8,17,31,51,69,89,107,129,50
Ukraine,49,63,88,111,129,151,166,177,185,194,131
United Arab Emirates,47,59,75,93,102,108,111,113,114,116,94
United Kingdom,1185,1553,1886,2464,3121,3580,3888,4126,4314,4514,3063
United States,13803,16948,21157,27173,32082,36517,40285,43357,45789,48255,32537
Uruguay,5,6,6,7,8,8,9,9,9,10,8
Uzbekistan,7,8,13,19,27,36,46,57,67,80,36
Vietnam,50,68,93,135,176,221,268,314,357,403,209
Zambia,1,2,3,4,6,9,12,15,17,20,9
Zimbabwe,0,0,1,1,2,3,4,5,5,6,3
Statista,,,,,,,,,,,
Sources,Statista,,,,,,,,,,
,,,,,,,,,,,
USER PENETRATION COMPARISON in percent,,,,,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,
Albania,8.2,8.9,9.6,11.0,11.7,12.2,12.6,13.0,13.2,13.4,
Algeria,2.9,4.0,5.1,6.9,8.2,9.4,10.5,11.5,12.2,13.0,
Angola,0.7,1.1,1.8,2.9,4.1,5.3,6.3,7.0,7.3,7.6,
Argentina,13.6,14.7,16.0,18.4,19.0,19.3,19.3,19.3,19.2,19.1,
Armenia,8.3,9.0,9.9,11.5,12.4,13.2,13.9,14.5,14.9,15.4,
Australia,21.4,23.6,26.1,30.2,32.0,33.1,33.8,34.1,34.1,34.1,
Austria,11.6,12.8,14.2,16.4,17.3,17.9,18.2,18.4,18.5,18.6,
Azerbaijan,4.7,5.5,6.4,7.7,8.5,9.3,9.8,10.2,10.5,10.8,
Bahrain,7.4,8.1,8.9,10.2,10.9,11.5,11.9,12.1,12.2,12.3,
Bangladesh,1.7,2.2,2.7,3.6,4.2,4.8,5.3,5.7,6.1,6.5,
Belarus,7.3,8.0,8.8,9.6,10.3,10.8,11.3,11.6,11.9,12.1,
Belgium,15.9,17.3,18.9,21.6,22.7,23.3,23.7,23.9,24.0,24.0,
Belize,4.5,5.1,5.8,6.9,7.5,7.9,8.1,8.3,8.3,8.4,
Benin,1.2,2.1,3.5,5.5,7.8,10.0,11.7,12.8,13.3,13.8,
Bhutan,4.5,5.2,6.1,7.0,7.6,7.9,8.1,8.2,8.3,8.3,
Bolivia,6.4,7.5,8.7,10.6,11.7,12.5,13.1,13.4,13.6,13.8,
Bosnia and Herzegovina,5.6,6.1,6.5,7.2,7.3,7.4,7.5,7.5,7.5,7.6,
Botswana,3.7,4.6,5.7,7.1,8.3,9.4,10.4,11.3,12.0,12.7,
Brazil,14.0,15.6,17.6,21.2,23.4,25.4,27.1,28.5,29.5,30.6,
Brunei Darussalam,5.5,6.1,6.7,7.3,7.7,7.9,8.0,8.0,8.0,8.0,
Bulgaria,4.1,4.6,5.2,6.2,6.9,7.5,8.1,8.6,9.0,9.4,
Burkina Faso,1.1,1.7,2.5,3.7,5.0,6.3,7.4,8.2,8.7,9.1,
Burundi,0.2,0.4,0.9,1.8,3.1,4.1,4.5,4.6,4.6,4.6,
Cambodia,1.9,2.6,3.6,4.8,6.1,7.4,8.6,9.5,10.3,11.1,
Cameroon,1.1,1.9,2.9,4.5,6.3,8.0,9.3,10.3,10.8,11.3,
Canada,25.0,27.6,30.6,35.0,37.4,39.1,40.2,40.9,41.3,41.6,
Chad,0.3,0.6,1.1,1.9,2.8,3.7,4.3,4.7,4.8,4.9,
Chile,14.2,15.4,16.7,19.3,20.1,20.6,21.0,21.1,21.2,21.3,
China,13.0,14.1,15.7,18.5,20.8,23.1,25.3,27.4,29.1,30.9,
Colombia,12.6,14.3,16.3,19.3,20.8,21.9,22.7,23.1,23.4,23.6,
Costa Rica,5.6,6.1,6.8,7.7,8.0,8.2,8.3,8.3,8.3,8.2,
Croatia,6.2,6.9,7.8,9.1,10.0,10.7,11.3,11.8,12.2,12.6,
Cuba,6.2,7.1,8.1,9.5,10.3,10.9,11.3,11.5,11.7,11.9,
Cyprus,8.8,9.8,11.0,13.0,14.3,15.6,16.6,17.5,18.1,18.8,
Czechia,8.6,9.2,9.9,10.9,11.2,11.3,11.3,11.3,11.3,11.3,
Denmark,23.4,25.5,27.9,31.4,32.9,33.8,34.2,34.4,34.4,34.5,
Dominican Republic,6.2,6.9,7.8,9.2,9.7,10.0,10.2,10.2,10.2,10.3,
Ecuador,11.1,12.4,13.9,16.3,17.3,17.9,18.2,18.3,18.2,18.2,
Egypt,3.9,4.5,5.1,6.2,7.0,7.6,8.2,8.6,8.9,9.2,
El Salvador,7.8,9.5,11.5,14.5,16.3,17.7,18.8,19.6,20.1,20.6,
Equatorial Guinea,2.6,3.4,4.3,5.5,6.3,6.9,7.3,7.5,7.6,7.8,
Estonia,4.6,5.2,6.0,7.2,8.0,8.8,9.5,10.0,10.4,10.9,
Ethiopia,1.7,2.1,2.6,3.0,3.5,3.9,4.3,4.6,4.8,5.1,
Fiji,6.2,7.0,7.9,9.4,10.1,10.4,10.7,10.8,10.8,10.8,
Finland,17.3,18.7,20.4,22.8,23.7,24.2,24.4,24.5,24.6,24.6,
France,14.9,16.2,17.7,20.2,21.3,22.2,22.8,23.2,23.4,23.6,
Gabon,3.3,4.6,6.0,7.9,9.5,11.0,12.3,13.4,14.3,15.2,
Gambia,1.7,2.5,3.4,4.7,6.0,7.3,8.5,9.4,10.0,10.6,
Georgia,3.7,5.0,6.4,8.4,10.2,11.9,13.5,15.0,16.3,17.6,
Germany,17.7,19.7,22.2,25.9,28.1,29.9,31.3,32.3,33.0,33.7,
Ghana,1.8,2.9,4.4,6.9,9.2,11.4,13.1,14.3,14.9,15.5,
Greece,11.7,12.7,13.9,15.9,16.8,17.5,17.9,18.2,18.5,18.7,
Guatemala,6.5,7.8,9.3,11.4,12.6,13.4,14.0,14.3,14.4,14.5,
Guinea,2.9,4.4,6.1,8.4,9.9,11.2,12.2,12.9,13.3,13.7,
Guyana,5.6,6.5,7.4,8.9,9.7,10.3,10.7,11.0,11.2,11.3,
Haiti,3.6,4.9,6.3,8.3,9.6,10.8,11.7,12.3,12.8,13.2,
Honduras,7.3,8.9,10.7,13.4,15.0,16.3,17.2,17.8,18.1,18.4,
Hungary,3.8,4.2,4.5,5.1,5.4,5.6,5.7,5.8,5.9,5.9,
Iceland,15.0,16.0,17.3,18.4,19.3,19.9,20.2,20.4,20.5,20.6,
India,1.6,2.2,2.9,4.0,4.8,5.6,6.3,6.9,7.5,8.0,
Indonesia,2.2,3.0,4.0,5.4,6.4,7.4,8.3,9.0,9.6,10.2,
Iran,9.0,10.0,11.1,12.3,13.2,13.8,14.2,14.4,14.5,14.6,
Iraq,4.1,5.2,6.5,8.3,9.6,10.7,11.7,12.5,13.1,13.7,
Ireland,20.4,21.9,23.7,27.0,28.2,28.9,29.3,29.4,29.4,29.4,
Israel,14.1,15.2,16.4,18.7,19.5,20.1,20.4,20.5,20.5,20.4,
Italy,12.7,14.4,16.4,19.4,21.0,22.2,23.0,23.5,23.8,24.2,
Ivory Coast,6.7,8.0,9.4,11.2,12.2,12.8,13.2,13.3,13.3,13.2,
Jamaica,7.9,8.9,10.0,11.9,12.7,13.2,13.5,13.7,13.8,13.9,
Japan,21.5,23.2,25.3,28.2,29.6,30.6,31.2,31.7,32.0,32.3,
Jordan,3.4,4.3,5.4,7.1,8.4,9.6,10.8,11.8,12.7,13.6,
Kazakhstan,7.9,8.5,9.2,10.7,11.4,12.0,12.5,12.8,13.0,13.3,
Kenya,1.5,2.0,2.6,3.6,4.4,5.2,5.9,6.5,6.9,7.3,
Kuwait,5.2,5.6,6.0,7.0,7.4,7.7,7.9,8.1,8.1,8.2,
Kyrgyzstan,6.7,7.9,9.3,11.3,12.4,13.2,13.8,14.1,14.3,14.4,
Laos,2.4,3.4,4.6,6.3,7.9,9.6,11.0,12.2,13.1,14.0,
Latvia,6.1,6.8,7.7,9.1,10.1,11.0,11.8,12.4,13.0,13.5,
Lebanon,7.5,8.1,8.9,10.2,10.9,11.4,11.9,12.2,12.5,12.8,
Lesotho,4.2,5.2,6.3,7.7,8.7,9.4,9.9,10.2,10.4,10.5,
Lithuania,6.2,7.1,8.1,9.6,10.7,11.6,12.4,13.0,13.5,14.0,
Luxembourg,16.9,18.3,20.0,23.0,24.6,25.8,26.8,27.4,27.8,28.2,
Madagascar,0.7,1.2,1.9,3.1,4.3,5.5,6.4,6.9,7.2,7.5,
Malawi,1.0,1.6,2.5,3.7,5.1,6.5,7.6,8.4,8.9,9.3,
Malaysia,6.4,6.9,7.5,8.6,9.2,9.8,10.3,10.7,10.9,11.2,
Malta,11.1,12.1,13.3,15.4,16.5,17.4,18.0,18.4,18.7,19.1,
Mauritius,5.1,5.7,6.4,7.4,7.8,8.2,8.3,8.5,8.5,8.6,
Mexico,10.2,12.0,14.2,18.0,20.7,23.3,25.6,27.6,29.2,30.7,
Moldova,6.7,7.3,8.0,9.1,9.7,10.1,10.5,10.7,10.9,11.1,
Mongolia,3.5,4.7,5.9,7.6,9.0,10.4,11.7,12.7,13.7,14.6,
Montenegro,7.9,8.7,9.6,11.2,12.0,12.7,13.2,13.5,13.7,14.0,
Morocco,2.3,2.9,3.7,4.8,5.6,6.4,7.1,7.7,8.2,8.7,
Mozambique,1.5,2.4,3.7,5.7,7.7,9.7,11.2,12.1,12.6,13.1,
Myanmar,1.7,2.7,4.1,6.3,8.4,10.4,12.1,13.3,14.2,15.0,
Nepal,1.7,2.3,3.1,4.3,5.4,6.4,7.4,8.1,8.7,9.3,
Netherlands,15.7,17.3,19.0,21.7,22.8,23.5,23.9,24.1,24.2,24.3,
New Zealand,17.4,18.8,20.3,22.5,23.3,23.6,23.7,23.7,23.6,23.5,
Nicaragua,7.2,9.1,11.3,14.2,16.1,17.6,18.6,19.3,19.7,20.2,
Niger,0.3,0.6,1.3,2.7,4.4,5.7,6.4,6.6,6.5,6.4,
Nigeria,2.1,3.4,5.3,8.2,11.3,14.4,17.0,18.8,19.9,20.9,
North Macedonia,9.2,10.1,11.0,12.5,12.9,13.2,13.3,13.4,13.5,13.5,
Norway,25.0,27.5,30.3,34.2,35.8,36.7,37.0,37.1,36.9,36.8,
Oman,8.6,9.1,10.0,12.0,13.3,14.7,16.1,17.3,18.3,19.3,
Pakistan,1.2,1.8,2.5,3.6,4.6,5.5,6.2,6.8,7.2,7.5,
Panama,9.6,10.6,11.9,14.3,15.7,17.0,18.0,18.8,19.4,20.0,
Papua New Guinea,0.6,0.9,1.5,2.5,3.6,4.7,5.7,6.3,6.7,7.1,
Paraguay,8.2,9.3,10.5,12.8,14.2,15.6,16.7,17.6,18.4,19.1,
Peru,10.5,12.1,13.9,16.8,18.3,19.4,20.1,20.5,20.7,20.9,
Philippines,3.4,3.8,4.3,5.2,5.7,6.1,6.5,6.7,6.9,7.0,
Poland,12.3,13.4,14.5,16.2,16.7,16.9,17.1,17.1,17.2,17.3,
Portugal,7.5,8.1,8.8,10.1,10.6,10.9,11.1,11.3,11.4,11.5,
Qatar,10.1,10.8,11.8,13.6,14.6,15.5,16.2,16.7,17.1,17.4,
Republic of the Congo,2.4,3.7,5.5,8.1,10.2,11.9,13.0,13.5,13.7,13.9,
Romania,4.9,5.4,6.1,7.1,7.6,8.1,8.4,8.6,8.8,9.0,
Russia,12.0,13.0,14.2,16.4,17.2,17.8,18.2,18.5,18.6,18.8,
Rwanda,1.4,2.0,2.9,4.3,5.7,7.1,8.2,9.2,9.8,10.4,
Saudi Arabia,5.9,6.5,7.1,8.2,8.8,9.2,9.6,9.9,10.0,10.2,
Senegal,1.6,2.4,3.4,4.9,6.5,8.0,9.3,10.2,10.8,11.4,
Serbia,8.4,9.3,10.2,11.8,12.8,13.5,14.1,14.6,15.0,15.4,
Seychelles,4.9,5.2,5.7,6.3,6.4,6.5,6.6,6.5,6.5,6.5,
Sierra Leone,0.8,1.3,2.0,3.1,4.3,5.6,6.6,7.3,7.8,8.2,
Singapore,13.7,15.2,17.4,21.5,24.7,28.1,31.3,34.3,36.8,39.4,
Slovakia,10.3,11.5,12.8,14.9,16.1,17.2,18.0,18.7,19.1,19.6,
Slovenia,7.8,9.0,10.5,12.7,14.3,15.8,17.0,18.1,18.9,19.7,
South Africa,9.0,9.7,10.6,12.3,13.1,13.7,14.0,14.2,14.4,14.5,
South Korea,11.0,12.2,13.4,15.5,16.7,17.6,18.3,18.8,19.2,19.6,
Spain,13.3,14.9,16.7,19.5,20.9,21.9,22.6,23.0,23.3,23.6,
Sri Lanka,3.2,4.4,5.9,7.9,9.6,11.2,12.7,14.1,15.2,16.4,
Sudan,6.3,8.1,10.0,12.5,14.2,15.6,16.5,17.1,17.5,17.8,
Suriname,3.9,4.3,4.8,5.5,5.8,6.0,6.0,6.1,6.0,6.0,
Sweden,30.2,32.6,35.4,38.9,40.4,41.2,41.5,41.6,41.5,41.5,
Switzerland,16.0,17.2,18.6,20.5,21.1,21.3,21.3,21.3,21.2,21.1,
Tajikistan,5.9,7.8,9.9,12.4,14.2,15.7,16.8,17.5,18.0,18.4,
Tanzania,1.4,2.2,3.4,5.1,6.8,8.5,9.8,10.6,11.1,11.5,
Thailand,4.0,4.6,5.2,6.1,6.8,7.4,7.9,8.2,8.5,8.8,
Timor-Leste,3.7,4.8,6.0,7.2,8.2,9.0,9.5,9.9,10.1,10.3,
Togo,0.8,1.3,2.1,3.2,4.4,5.6,6.6,7.3,7.7,8.1,
Tunisia,6.3,6.8,7.4,8.6,9.3,10.0,10.5,11.0,11.4,11.8,
Turkey,10.3,11.9,13.7,16.5,18.1,19.3,20.2,20.8,21.1,21.5,
Turkmenistan,5.0,7.0,9.3,11.5,13.5,15.2,16.5,17.5,18.2,18.8,
Uganda,1.6,2.5,3.7,5.8,7.8,9.7,11.2,12.2,12.8,13.3,
Ukraine,6.8,7.6,8.5,9.9,10.8,11.6,12.2,12.7,13.1,13.5,
United Arab Emirates,9.5,10.3,11.1,12.6,13.2,13.6,13.9,14.0,14.0,14.0,
United Kingdom,25.0,27.1,29.5,33.7,35.5,36.8,37.6,38.0,38.2,38.5,
United States,31.5,34.6,38.2,43.3,45.7,47.1,48.0,48.3,48.4,48.6,
Uruguay,6.0,6.6,7.2,8.3,8.7,8.9,9.0,9.1,9.1,9.1,
Uzbekistan,2.6,3.4,4.3,5.6,6.6,7.6,8.5,9.2,9.9,10.5,
Vietnam,3.6,4.0,4.4,5.2,5.7,6.2,6.7,7.1,7.4,7.7,
Zambia,1.7,2.5,3.5,5.2,6.7,8.3,9.6,10.6,11.2,11.7,
Zimbabwe,1.4,2.0,2.8,4.1,5.3,6.6,7.7,8.7,9.4,10.0,
Statista,,,,,,,,,,,
Sources,Statista,,,,,,,,,,
